ID_encrypt,Start_Date,End_Date,1st_choice_elective_MW,2ndchoice_elective_MW,1st_choice_elective_TTh,2ndchoice_elective_TTh,Quarter
0x0171C2E8677ED58A49DCE13B570E79A67B092F04C3EFB03AEA1711B5BB49B41245E6A6BEE1A2E1B714DA9ECFBA108897A101800E76B7E34D9DB1C2935B9764E5D7,10/25/2016 15:22,10/25/2016 15:25,English Through Movies,English Through Movies,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017ADC90FB80E254543E7F4D0136C8253D9B1E28A8E92942E62750B68CD77C54FD0C3A901ADA1990DE9516A5704AD98A9F23B3A7BBA535D2C3AE4FBBA07EF85308,10/25/2016 15:16,10/25/2016 15:39,Business English,English Through Movies,American Idioms and Slang,Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x0170FB2984D52BA59A0FE2B20DD41815CAC43AC6A509DAC0CBA0551B08CF1180C94E2EE10CB674B9E45F9776D9FFCD6BFEC7047E6C1DDE82B65704D966FD10543A,10/25/2016 15:03,10/25/2016 15:21,Business English,Public Speaking,American Idioms and Slang,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01868D7AAB61CDF95BE649D28D49B21C81D21A38879B890E1A0A1ADBCC2F504ECF5C9863BB25C9E07CD03A49FD406239EE5F93838120B9E593EF4342B657C27265,10/25/2016 14:56,10/25/2016 14:59,English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),Current Events,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01323EE92A6704AA6294706208BB208A4F22C233AF6A723C7BF9FA536A7BC49E64CBE68D561A3BECDB5440162DF7C1DBE3CAE3746AECCE2CB02A7BF8F2CFF2B82E,10/25/2016 14:04,10/25/2016 14:08,Public Speaking,Public Speaking,IELTS Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01A44B75C20A584BFA940B9469726C56612F3E5A7610EF8CC732817D4036A96EB6A15456662049759051AC0510A8F5062E84A61FED9B3813D9AE0C85B201A98943,10/25/2016 14:01,10/27/2016 13:05,Grammar In Use,Active Listening and Speaking,NULL,NULL,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01D27FA35200994AF3E88BB83252DD4E9426F4761910214B89BBBA1A018B5D86561D4E4CBF768679FFDF035DBE1E52379A1ECDBEBFFE53A4181A591D1374AB065F,10/25/2016 13:10,10/25/2016 13:11,Business English,English Through Movies,IELTS Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01FA25306C65FEE3E812A931B7AD8101798F1BF34BA5D5D73F72B6215B2111979B5759226EC110C9BBDFCB62B07D5FF01CE258EAEBDB9520DDF4FDA6528BD2D6AF,10/24/2016 23:32,10/24/2016 23:34,Grammar In Use,Business English,American Pronunciation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01B039BAD9517B83C2A8CC0329B2EC3BDE0F63FB304D0022F15D03D0185997A488E53134C5D7FE5EE8282D6C08BEF91FF0A8E43529E60089967CFE8918AEF44D22,10/24/2016 21:29,10/24/2016 21:32,English Through Movies,Business English,American Pronunciation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01AD4344FA7935A544481E55C2ED9476C36E6C85A26D4F1B44439C8B8EED9ACB9E8583DB20867C778A2BD8065717F9215A742E6E2A2DF7FCB6EE1B83C0D8C6BD4F,10/24/2016 17:58,10/24/2016 18:04,Business English,Business English,TOEFL Preparation,TOEFL Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017F4765A3A0423AE9CAAF29D086BDDBBE9784A933B449ED09D5A159295DE30F8A6D3B3C2BD5C301FBC4E9D1B0C90E6304E5561AD678389802006332DA2D21C994,10/24/2016 11:03,10/24/2016 16:10,English Through Movies,Public Speaking,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x01BAAF34F6A054B3B15C5FB2C8CFDBD33B33DA36BD6F1ECB2F6E166A3B342D566BFA856CFF4A7B8ED706654A91C65B581BB19796DDB145F7C03C0C37BF275AF565,10/24/2016 15:53,10/24/2016 15:59,Active Listening and Speaking,Grammar In Use,IELTS Preparation,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017BEEC9CA4425B2234268DB6E7F0B79CC4EB179C066AA4800CC3BBEB4F4B969E1823B7A7091E9342E0999995B4D28E9DC90987B108DEA612139E86857C8DB3A48,10/24/2016 15:08,10/24/2016 15:12,Public Speaking,Business English,American Idioms and Slang,English Through Drama,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x018811CD24E223070913C9C2F17CB337F262ED2BC500CD8827B239031C731341DE4D0D27F7097D0D1E4F2AC45772AFBFED5CE24D688C3F7310CFA04BE0303E43A7,10/24/2016 14:50,10/24/2016 14:52,Grammar In Use,English Through Movies,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017A32FC204988E3E922B846C554F529AF584D5340BDED97B28C91F985E55FD06DC550A9FBB1586F0BE4706A035F52C358FA50B2C2D6FD9DAB946EC5BCD097A1A2,10/24/2016 14:47,10/24/2016 14:52,Grammar In Use,English Through Movies,Word Play (Academic Vocabulary Development),American Idioms and Slang,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x018DEDAE28AE9E6343D9069F66E28365DB5D692AB0BDA4AACF6F8B88F9C3CF4B289D84379B89DB697B6512DF4092B16FF035D717F2BD08EA0E4D9C372791BFB376,10/24/2016 13:21,10/24/2016 14:11,College Workshop,English Through Movies,TOEFL Preparation,IELTS Preparation,AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x017563F2F913387964D36F9B2B7B946B9D8AEC85E995CCF68F396FC48A190AF2D5A1ED1AD45D72A8433C5081606B629D38E81F129944725A115A5D82869C1D12A4,10/24/2016 13:13,10/24/2016 13:17,Public Speaking,College Workshop,Current Events,Word Play (Academic Vocabulary Development),AIEP_Fall_2016_2nd_Half_Elective_Preferences_Advanced
0x013E6C1C1433D9BDCDE49293CCC73FDA537B72BFBC1F1448F62D7017F194EBDDCE0B18229C73146EFDCB10D4C346EDB65844106FCA8951E44E6FE45337BA7EDDFD,7/20/2016 17:10,7/20/2016 17:13,English Through Movies,Business English,American Idioms and Slang,American Idioms and Slang,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
0x01E4BC03DA4378BD386A324B74ACD51F747A52882A50EE060AD841282A7D68845826B7A685293FEC67EBEA610320DF90F0BA992E9DB2687C87272BC62B43D69E99,7/20/2016 9:53,7/20/2016 9:57,English Through Movies,Active Listening and Speaking,American Idioms and Slang,IELTS Preparation,AIEP_Summer_2016_2nd_Half_Elective_Preferences_Advanced
