ID_encrypt,_What_did_you_do_before_studying_at_ALC__,_What_will_you_do_after_the_ALC_program_ends__,_Who_pays_for_you_to_study_at_ALC__,_How_did_you_hear_about_ALC__,_Which_digital_devices_do_you_have_with_you_in_LA__,_How_do_you_stay_in_contact_with_your_friends__,_Which_English_test_have_you_taken_within_the_last_6_months__,_Which_English_test_do_you_plan_to_take_in_the_next_6_months__,_What_major_or_field_do_you_plan_to_study_after_you_complete_your_ALC_program__,Quarter
0x011DB4A411D040577038256065ADEFE038DCC9C1EAE1A3F500C979BA6A15926F7B0F27A88B50AE92E17AE204BA4116279C38FDC4823EE0CDA08425BA81E85B15DC,working,MA or PhD,government,Internet,"(computer,mobile device)",social websites,IELTS,IELTS,Medicine/Biology,AIEP_FA18
0x0169779C9AA4C19AAC43EEA3B2C0D39974DE098B0D36754B72B7C17191EBEE4D6EDF96F6DFDC95D013D2BB9F15675BD6212CBCE525C1E065A83F5CBABEAF813B95,working,MA or PhD,self,ALC student,"(computer,mobile device)",social websites,none,IELTS,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,MA or PhD,government,friend/family,"(computer,mobile device)",SMS,IELTS,IELTS,Computer Science,AIEP_FA18
NULL,working,MA or PhD,family,Internet,mobile device,SMS,none,iBT-TOEFL,Computer Science,AIEP_FA18
NULL,student,MA or PhD,government,Internet,mobile device,social websites,none,IELTS,Media/Film/TV,AIEP_FA18
NULL,working,MA or PhD,family,ALC student,mobile device,social websites,TOEFL,iBT-TOEFL,Medicine/Biology,AIEP_FA18
NULL,working,MA or PhD,government,friend/family,"(computer,mobile device)",social websites,NULL,"(IELTS,TOEIC)",Law,AIEP_FA18
0x01A684DED9DCDA75650680E942AC8EC3E2A9C06140CE11872A2F4F4D3C4D78197239B355D6B82942060698E3B673D31AA42BCB4F5A37941D5A3385A53F7ED28238,student,MA or PhD,government,Internet,computer,email,IELTS,none,Medicine/Biology,AIEP_FA18
0x016979CC0D038A257A3823B0B4981A0AA0D00958EF5822669AC45B9A0E9722EB2FF04E93C092F62198FE36756120177E7AEA6EE90BA16FDC1A3A4F7580C4DDFB1B,working,MA or PhD,self,Internet,computer,email,none,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,MA or PhD,government,advisor,"(computer,mobile device)",email,none,iBT-TOEFL,Engineering,AIEP_FA18
NULL,working,MA or PhD,self,friend/family,mobile device,SMS,none,iBT-TOEFL,Law,AIEP_FA18
0x0163AFECA8EAA7C02A7F9465832E2E48AA91DCEF0461C2949BEB0347C5C656B74DC6DC3055AD223AE1B9933C88DFF9C1552FA00B9FDF886113CEE94026FA2A55F3,working,MA or PhD,government,friend/family,mobile device,social websites,IELTS,NULL,Law,AIEP_FA18
0x013872A7016D5CAAAD3BFA6BC9078D850CD2F28E712BFAF58BE25039318D8174DD220858F878BC4F3D5C6FCF71B73262E4B0D4016F4FCC1B852AD61B3DAD5DDE70,working,MA or PhD,government,friend/family,"(computer,mobile device)",social websites,IELTS,"(iBT-TOEFL,IELTS)",Law,AIEP_FA18
0x01A7E8F3AD0B42C9842BDD974054962ECC7DB53E4CF4C2835D1E2F105DD04B3C983349CF85D7C0BAC6FA07647689686BABC6866EA3974EBA3967149A0EBEC4DF78,working,UNEX certificate,self,agent,mobile device,Skype,iBT,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x01C2F26A072CC156903B97449CB642C09879C471C92D8ACDF7184491D7A1B517FE8671BD747347DD38ECA70D8AA3D365FBA93D26808738BCBA605353AE667068F0,student,UNEX certificate,family,agent,"(computer,mobile device)",SMS,none,none,Other,AIEP_FA18
0x01E35E8E8F9799D1026BDA15EC643D306CEE6D8B1EB87B3DF88DFFA4814D2BBFF09E4A01C39C01FFAE4A78FF52BC1EF7C137E3658761B51047359AB148D91A12B3,student,UNEX certificate,family,friend/family,mobile device,social websites,TOEIC,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x01F0B7BA8A6D706C26DA6AD17AB36433513F88C4965D2A8128AE71AA6359A8BD3F1D1BCEEDCBBA567E1E86F813C84D9841DD153935D7C1A52F004261F7783200AE,student,UNEX certificate,self,Internet,"(computer,mobile device)","(SMS,social websites)",TOEFL,iBT-TOEFL,Other,AIEP_FA18
0x015F5F1B8FD9123A3CDF8ADFAC9D5CB673CE7A21CBCC1DBD9972A59033047EDD61E9BC9BD89121677B36F2CD04F8C2D3C2ACFF213EC2C16579834C884CC5BBC09E,student,UNEX certificate,self,Internet,"(computer,mobile device)",SMS,TOEFL,iBT-TOEFL,Other,AIEP_FA18
0x0147420CC152BE543DDDCDF4298D1B7B1DCC4BD3995AA0CD8A788D653FEC70273A6E64DC4BC86E60E018A6E3938E275E9A83E85C002711FE064A61E58784A9B06C,student,UNEX certificate,family,advisor,mobile device,social websites,TOEFL,iBT-TOEFL,Computer Science,AIEP_FA18
NULL,working,UNEX certificate,family,Internet,"(computer,mobile device)",SMS,TOEFL,none,NULL,AIEP_FA18
NULL,working,UNEX certificate,"(self,family)",Internet,computer,SMS,none,IELTS,Media/Film/TV,AIEP_FA18
NULL,working,UNEX certificate,self,Internet,mobile device,SMS,TOEFL,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,UNEX certificate,family,friend/family,"(computer,mobile device)","(email,SMS)",TOEFL,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,UNEX certificate,self,Internet,"(computer,mobile device)",Skype,TOEFL,IELTS,Chemistry/Physics,AIEP_FA18
NULL,working,UNEX certificate,self,Internet,computer,SMS,none,TOEIC,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,Internet,"(computer,mobile device)",social websites,IELTS,IELTS,Art/Architecture,AIEP_FA18
NULL,student,UNEX certificate,family,agent,"(computer,mobile device)",social websites,IELTS,IELTS,Art/Architecture,AIEP_FA18
NULL,student,UNEX certificate,family,ALC student,"(computer,mobile device)",SMS,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x01DC958CF70490A0077385C233AECD944334D9A7275A24734DE0A87CDCFF7A785B13C61FD0BE669137E6309B8FC45F8CB80144A4917B558E583BD624E3504092FE,working,UNEX certificate,self,ALC student,mobile device,SMS,none,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,UNEX certificate,family,Internet,computer,social websites,none,iBT-TOEFL,Other,AIEP_FA18
NULL,student,UNEX certificate,family,ALC student,mobile device,SMS,iBT,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,friend/family,"(computer,mobile device)","(email,SMS,social websites)",TOEFL,iBT-TOEFL,NULL,AIEP_FA18
NULL,working,UNEX certificate,self,friend/family,"(computer,mobile device)",social websites,iBT,none,Art/Architecture,AIEP_FA18
NULL,working,UNEX certificate,self,agent,"(computer,mobile device)",email,none,iBT-TOEFL,Media/Film/TV,AIEP_FA18
NULL,working,UNEX certificate,family,agent,"(computer,mobile device)","(email,social websites)",IELTS,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,ALC student,"(computer,mobile device)",SMS,IELTS,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,agent,"(computer,mobile device)",social websites,IELTS,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,Internet,"(computer,mobile device)","(SMS,social websites)",TOEFL,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,UNEX certificate,family,friend/family,mobile device,social websites,none,iBT-TOEFL,Art/Architecture,AIEP_FA18
NULL,student,UNEX certificate,family,Internet,mobile device,social websites,none,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,UNEX certificate,family,Internet,mobile device,SMS,none,IELTS,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,UNEX certificate,government,agent,"(computer,mobile device)",SMS,TOEIC,TOEIC,Engineering,AIEP_FA18
0x018DB1603A005AEB06415A83C19756CD3A9F08AD360C1DFA9870E9DE26E3FCE28E2E6BCBA2A338E8B113ED5AE1BE3E5EE3FEA0586FD0F5D23E6921F5FFA7112167,student,return to home country,family,agent,"(computer,mobile device)",social websites,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x01805AD2E82557AD423161FE7E2D58DA46BA3A0132715FD6E4CEF49ECF75D961583484D63362F6B0D8CEDCE42D1C0469B350818185641990FC3E26076F5ADF39DA,student,return to home country,self,agent,"(computer,mobile device)",email,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x012218F524469D049213058FF753AE601D22D57E68752756C97C950024889D5812B1E4DC944210165BC5C19DC8E95F8518B65CA2AB4374AA8CA5AB47291BA098E5,working,return to home country,family,friend/family,"(computer,mobile device)",SMS,none,iBT-TOEFL,Art/Architecture,AIEP_FA18
0x01A4B0D1EC0AF0D00802F917A12C5E99E5798655277B0650848D4896503F1CD3A4721423BFEE12806648BD46D66CF2CDB95B9F824B29E6D42CF61D38A61A111D3B,working,return to home country,self,ALC student,mobile device,social websites,none,none,Media/Film/TV,AIEP_FA18
NULL,student,return to home country,family,friend/family,mobile device,SMS,none,iBT-TOEFL,Other,AIEP_FA18
0x0164F177F876CEEDCBEDB9B744C7B942D79A9EF181E96F0C82B3A08CA96A549F813C3763E50ADB052E08987307DFE3FB7DDBD60F12463486ADF4079FC9D622D9C9,working,return to home country,self,Internet,"(computer,mobile device)",email,none,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,agent,"(computer,mobile device)",social websites,"(TOEFL,IELTS)","(IELTS,TOEIC)",Media/Film/TV,AIEP_FA18
NULL,student,return to home country,family,advisor,"(computer,mobile device)",SMS,none,"(IELTS,TOEIC)",Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,agent,"(computer,mobile device)",social websites,none,none,Other,AIEP_FA18
NULL,working,return to home country,family,Internet,mobile device,social websites,none,iBT-TOEFL,Engineering,AIEP_FA18
NULL,student,return to home country,family,agent,mobile device,social websites,TOEIC,"(iBT-TOEFL,TOEIC)",Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,return to home country,self,friend/family,computer,social websites,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,advisor,mobile device,social websites,none,TOEIC,Other,AIEP_FA18
NULL,student,return to home country,family,advisor,computer,social websites,IELTS,TOEIC,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,Internet,computer,social websites,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x0129EC3A5585B7B35A5AB1627573503D3E7652774411327321AF8A01B0F8F02976632F25482F1B0FB76F366872FACAC423A00053A29CAAA2BE299CFC423C87AA17,student,return to home country,government,friend/family,mobile device,social websites,none,IELTS,Computer Science,AIEP_FA18
0x01B967A4EB625A82D1B8A530EE9C7D993CC81E156998F6244E990B13F16D4804F6F913E6A7E89688F5090539365AD10913F67DF96033FA3D341DA7E4B5C24D6303,student,return to home country,family,advisor,mobile device,social websites,none,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,agent,"(computer,mobile device)",social websites,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,advertisement,computer,email,none,TOEIC,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,Internet,mobile device,social websites,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,return to home country,government,agent,mobile device,SMS,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,working,return to home country,family,friend/family,"(computer,mobile device)",social websites,none,TOEIC,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,"(self,family)",advisor,mobile device,email,none,TOEIC,Media/Film/TV,AIEP_FA18
NULL,student,return to home country,family,agent,mobile device,email,none,iBT-TOEFL,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
NULL,student,return to home country,family,Internet,computer,SMS,none,TOEIC,Other,AIEP_FA18
NULL,working,return to home country,family,agent,"(computer,mobile device)",social websites,TOEFL,none,Business/Finance/Acctg/Mkt/Mgmt,AIEP_FA18
0x01882BBAFD85A2C38CE5D09DFB376A2215172065A5FE0012CA398001B9782C50B40B271155076F2463B9A85A94B6AE4A17F97BA9F7D445B257B99B96AAC92C6F2C,student,UNEX certificate,family,agent,"(computer,mobile device)","(email,social websites)",none,iBT-TOEFL,Business/Finance,AIEP_SP18
0x0134EA6B141013E9E72298FF72E3E8C477905992731EAC922CD2D445EBB237F4D9F50E5CC716B76C8617C685DF95AA23F218EBC81ECF8AD14C772EDE5E8BCDED3B,student,UNEX certificate,family,Internet,"(computer,mobile device)","(email,SMS)",NULL,iBT-TOEFL,Business/Finance,AIEP_SP18
0x011EEC31602C5BD56F9A7941D9A0EAEF0B585D9B1F818FD7D92870FDAC21C1622483245281E6A9E730862BEABD09566D1EB7AB2CB2138D4D6D481590B3106CDF8B,student,"(UNEX certificate,return to home country)",family,agent,"(computer,mobile device)",SMS,none,"(iBT-TOEFL,IELTS,TOEIC)",Business/Finance,AIEP_SP18
0x01D58F933477811D47A0DC9D1D764DEC412A86BCC579A1762A126A6A1A3D2A7D4E8465FEBEED44717E2880752F9EB694120B0F551F3D9594E695D6442F5586AE95,working,return to home country,family,Internet,"(computer,mobile device)",SMS,none,iBT-TOEFL,Business/Finance,AIEP_SP18
0x01D3B92477AE0C3D99D0048D7726514D3C0B2BAAB38FFD9CCB96DF96B81C4536F56B146D82EFB2FE5053796DFD4712F26864B8107FB2B3263480368BE2F20FA8B6,working,MA or PhD,"(company,government)","(advertisement,friend/family)","(computer,mobile device)",SMS,none,IELTS,Engineering,AIEP_SP18
0x013687A286854C6ED47A43B4DA7F551DA258A3658ABE54F08403DEE9BAD32BD57915F3DE976181CEC84B24A087195BE89667B13BA072367E028D81B2643070DB44,student,"(UNEX certificate,return to home country)","(self,family)",agent,"(computer,mobile device)",social websites,TOEIC,TOEIC,Business/Finance,AIEP_SP18
0x017F84FD630A935821BAC003DFE80C73F02995684E10359435F15BEF3793820FCB5218CBD411F830A2B26FB30606D2C8B4A5A7A8123005DA2A453B9156A99F5360,student,return to home country,family,advisor,"(computer,mobile device)","(email,social websites)",TOEIC,TOEIC,Law,AIEP_SP18
0x01DC6B989B17D893DC634B6D9191D7F58B39AA1202750550E02DB5897E6AE93312950FBA6E844AFC0F3F0A48F374222649A596A7540B8FF6A096BFB1C5FD90535D,student,UNEX certificate,family,friend/family,mobile device,SMS,none,iBT-TOEFL,Business/Finance,AIEP_SP18
0x0182FA770D9CBA88A004B240E42FFA7D833CBCF52F4D6ACF1F476E36DBC6D83503CD4263914D3B1DDB33390CD76B8D6E149AE8717B58DF9B979DD3DEF62F67AEEC,working,4-year college,self,ALC student,NULL,social websites,NULL,iBT-TOEFL,Business/Finance,AIEP_SP18
0x0132AE1AAE0788545D3A66ECD44DC90F191596D5359E53BE032F55A972128E23401FA2B4ADB2451C197C7D062097C0B221BB46350251918A7DE1FE88561DCC6B8D,NULL,NULL,NULL,Internet,"(computer,mobile device)",SMS,none,NULL,Law,AIEP_SP18
0x01F6EE75C6BED36CE992B378992333BDE8A2DF9A72841E41A4A7C0BB4C3BCB19DF34BBBAB823AB4E1B10E7BE7A69DCE9294393A429A3916D030635985CB1D58690,student,2-year college,family,Internet,"(computer,mobile device)","(SMS,social websites)",none,IELTS,Business/Finance,AIEP_SP18
0x01DC2492C017CF6942DD123BA6C98B96417A4B4FBF91F9C0F7EC900E8102098521C743F958AD5B81C622A9D66686CF3AD5B52B976D2F860E85D8F308C714C0253B,working,MA or PhD,government,friend/family,mobile device,"(email,SMS,social websites)",none,IELTS,Medicine/Biology,AIEP_SP18
0x0199E314DC6B5FBBAF65F051A8667DFD38AF5AED3F1543D18843D86D9A94C687736535B66F55DD6836592812317E68AEDBE5539BD18A86E563D3C74D8514FBE618,student,return to home country,family,agent,"(computer,mobile device)","(SMS,social websites)",TOEFL,TOEIC,Business/Finance,AIEP_SP18
0x01663383B70CA8829F80741DC661B5FB17B8E31BCF228DC3B215AC8CCC6CBA3C540BA51E4C782B148A3725EA83F6F07D51EF4FDE817F96D9FE28DC9FA0E4EC39A8,student,4-year college,family,friend/family,"(computer,mobile device)","(email,SMS,social websites)",none,IELTS,Medicine/Biology,AIEP_SP18
0x01E954EA8CD5648439D2DCF74AA7A890C81E8130227721345989E9B2A0F0E31DEA114386E59612B0CFB3BAE880D44F233386E253410FE10AB3DBF6892B70006001,student,2-year college,family,advertisement,"(computer,mobile device)",email,TOEIC,iBT-TOEFL,Education,AIEP_SP18
0x01858101CC89B8A79FC006B30240DF5A01B7DD83DAEDDEF5DBF4595EDCE07E386F76076BCFB5B8EF4A4E0BE3CA300C4A0B7C201225BEF6CD815EFBE06C672311EE,"(student,working)",UNEX certificate,family,friend/family,"(computer,mobile device)","(SMS,social websites)",none,iBT-TOEFL,Business/Finance,AIEP_SP18
0x016ED7F481A39D8561BBA91B29ABE51FD70E475B2EB44877D4AC01B33FA5BE4E4336375761B66D06549A0F2CE91EEC5EFCA44BA1D4D7266CBC89777D4E47B7A86E,student,4-year college,self,"(Internet,agent)",mobile device,social websites,none,TOEIC,Engineering,AIEP_SP18
0x01CD240B35D7E50C08B06BC7F40BB64C6B0E1EF28D904F3FBC065FD3D938DC802BC24A6F1BC75DB09CEBB2FAA8BA9BA8AD7971C8EB8F3D630683F25A5E66DEE631,working,MA or PhD,government,friend/family,"(computer,mobile device)",NULL,none,iBT-TOEFL,Medicine/Biology,AIEP_SP18
0x01EB097B7186DFD932BD615176B850A0CA389111201F36BC5E64693BC68A31D9304E544169FA6A8E30D1BDD4D4605A6049BE4BF76B4F33548B5AC45E5FB857461E,working,return to home country,self,Internet,"(computer,mobile device)",NULL,none,none,Other,AIEP_SP18
0x011E54271C073B77C8BBCBF2E1119DCC91B3C9D8917DEA04A509083C8430DF73F499076B4FB6717346F955E30CD127A42C862DB47E2F189FB0098D311B7E32532C,working,UNEX certificate,family,friend/family,"(computer,mobile device)","(email,social websites)",none,"(iBT-TOEFL,TOEIC)",Business/Finance,AIEP_SP18
0x01E3913CFB3663CC522010F6AAEE0F4F3079D63CDC8CB5F031EF9E34302AF29AFF8D3903A9AB06C8A9C129217888AA0EB5CF199B9F39BDAC8977C34E6AB7ABC9B1,student,return to home country,family,ALC student,mobile device,social websites,TOEFL,none,NULL,AIEP_SP18
0x01D720186E883A651E537FE797812086D2177CDC6744BD8D44186A5B336CA611BA10DEB10413492B52332DA04C10826A1CA9FD82BC4250A2BA3F32C3AE515084CA,student,4-year college,family,Internet,"(computer,mobile device)",NULL,TOEFL,none,Business/Finance,AIEP_SP18
0x0136B5F42D3AB0F5EF8F2C0709B79A20FAA03A884C589BBEC4D2EEE14F4361B4B28DD4553D8FD7404DC6CCD0DD5AFFCD103994F332ADD655FAD82CF41735C7AC1B,student,MA or PhD,family,advertisement,"(computer,mobile device)",social websites,TOEFL,iBT-TOEFL,Business/Finance,AIEP_SP18
0x010F4C26BA775D938D1A3ED19F68FB0D2FC9F9BC92205596D98B4BBD409914621904A2233C4B1CDE5CF91C2A69FF066BAFF6C71EDC833A0ED52A076B9D21911E64,student,return to home country,family,advisor,computer,SMS,TOEIC,TOEIC,Business/Finance,AIEP_SP18
0x01FE0D809A396F3BCCBF40C2A8688351197C596442F2B505AB9CF5F68D3C3EF2DAE3038C4A6D28F6F4BA6C72E63D51C73CBA8437113672949D673BA4EDB7F02F24,student,return to home country,family,advisor,computer,SMS,none,iBT-TOEFL,Education,AIEP_SP18
0x01C137883F96922BC31F9635F1B44EE6CA220F700B87FFBA2922D7397A03CEE45615015C1D65145AD7EEA1B4ACFD3F582E74338A711FCDABFE30B45D8FFB3F320A,student,return to home country,family,advisor,"(computer,mobile device)",NULL,none,TOEIC,Business/Finance,AIEP_SP18
0x01550026E310ACC0333214495C7B3929CCF290FB69AF8A5384046840F6AF30DD9CE86C0B29EED2C5D35756A90557C171355F6F92A1797E9136B6F8154256E6BB64,student,4-year college,government,agent,"(computer,mobile device)",social websites,IELTS,IELTS,Business/Finance,AIEP_SP18
0x01C0B95FEDD8F631C76D37032BD6EF97309E915BF7D159A5E5533C2BD314BDBC28D7A1356284D8E3F025905B63C2C1B65E35969F1C163A70CE319A8E6073701797,student,return to home country,family,advisor,"(computer,mobile device)",SMS,none,TOEIC,Business/Finance,AIEP_SP18
0x0164C8DE66FAF963A1AE3B9F922E43BBCFC777BF2D25E2CADD511C7606EBC3F069E784C6F94673B89E06ABABBF25DC0FECC40D8FBE6DB86607CDE98D249FECFF08,student,return to home country,family,advisor,mobile device,SMS,none,iBT-TOEFL,Education,AIEP_SP18
0x015DE00A9554FEDF2C53798AA60BE27852B183A9CAECC57183BD8E857566F22A803A2F0731F62DB135BA14CAFAA759631CDD6D61680C7D2C855E122BEDDF3DC327,student,4-year college,government,friend/family,mobile device,social websites,IELTS,IELTS,Engineering,AIEP_SP18
0x010B84FBDB81BE99D7B6D49F52F1CED10A0E6E542F4773F038D22BCAA68140FEC7C966C94502968E9445B93DB2B4C144C5EFD0D0326424C6CF2F9F6B843266EB62,student,UNEX certificate,family,friend/family,computer,SMS,"(TOEFL,TOEIC)","(iBT-TOEFL,TOEIC)",Business/Finance,AIEP_SP18
0x011513AE7AE4A388A8FBDDE72E2268ED151B468C5E89617E6234DB0103659EEE36A24133BF17A87E1FEDFB9AB87ED4C1E14E874F105E991595F41E8FEAB7E30906,student,return to home country,family,advisor,"(computer,mobile device)",email,none,TOEIC,Business/Finance,AIEP_SP18
0x01876A29B29DAB99E4AEF0E56E7BF9480077CB6161EC06EB500797AD0B188D23B1D667A1CC0B0D6AF6496E01A15E48257C3703EF99CFE68F4A469283B7A7A7D0B6,student,2-year college,family,Internet,"(computer,mobile device)","(SMS,social websites)",iBT,iBT-TOEFL,Business/Finance,AIEP_SP18
0x0124874974D7E8891BAABB8E0923D7FB072CF5C03B2CC1161F9E0D5B71145865AE23779D9F1DC2ED487EBF5437D525F61B94D4EA2C3F94BF4211CCAD9874F310B8,working,MA or PhD,family,Internet,computer,NULL,IELTS,iBT-TOEFL,Law,AIEP_SP18
0x01F450EFBD2AD2E08B844FEAE4A72DBD0D12D98D7345EE7A6ABBB8A54AA03A2D1D99EE896C53E3C65CF3613026257A75524FAB583C5F3F5497AC3AC3FA2B4DD96C,student,return to home country,family,ALC student,computer,social websites,none,none,Art/Architecture/Design,AIEP_SP18
0x01E58B10E167093391C74BDE8D3E5EB83657B5A5A9BA4C7733A0142C4C82EFF05B4526571D835AF77FF2C9CCD7F1A62B50C9B3C8C98B1A61930EF83995A6211515,student,return to home country,family,ALC student,"(computer,mobile device)","(SMS,social websites)",none,IELTS,Medicine/Biology,AIEP_SP18
0x01B1296F7897A8828CF207058B8C8C333A558343371C80A04C0785D902B1EEF0C3793EC9A556DDC592F3C032CAD8FE4E5FA4C047470A33D3DA23624CA87A56DD90,working,UNEX certificate,family,Internet,"(computer,mobile device)","(Skype,social websites)","(TOEFL,IELTS)",none,Business/Finance,AIEP_SP18
0x0188242A8790517A9DC418422D3B81FBDA3882F3B780C8920709A2420E1C1B3E600D8D2E29F7F77C8567E6B8A22A2FB7040574E6A7F0E1901D3A243E13C03378F0,student,return to home country,"(self,family)",advisor,"(computer,mobile device)","(SMS,social websites)",NULL,TOEIC,Other,AIEP_SP18
0x0150762100985FE7FC6CE84EB6D93DE3029FC9683301C45B4CCF197E0F9A80D962FF6816D2167A38E1BF264BAC3632D3BDADD7DD346ED78359155A5AE5C8CBEBC1,working,return to home country,self,agent,none,social websites,none,none,Business/Finance,AIEP_SP18
0x0151335556FBAA8F8673673674978609C6283094BD0D663EEFBD9E90F5D682B93B5655707D6BEA172DF330BB90634A0C5E20A81D7D8E02EE4F688587D716CB6FA6,student,UNEX certificate,family,agent,"(computer,mobile device)",SMS,TOEFL,none,Art/Architecture/Design,AIEP_SP18
0x01805950BF719EC6F6A0E030BFFA8C56A68AE0E540F14E0C4C2FC79EBCB6F27350EA3FC489DBC11419498D1FEF291A95FCDC288E00D26E6F2A174184492EDC9178,working,MA or PhD,family,ALC student,"(computer,mobile device)","(SMS,social websites)",none,"(iBT-TOEFL,IELTS)",Business/Finance,AIEP_SP18
0x01D0CA0148CA83A001693A8960EA3EDD840DFBA3D4A83862071CFD70B1EBEA27C4BC660E86B1EE7E2FDA52F61A00A5908FC06BACDAE9FF753A78DDB3E3DD0013BB,student,UNEX certificate,self,friend/family,mobile device,SMS,none,iBT-TOEFL,Medicine/Biology,AIEP_SP18
0x01B5FF05116885ACB6E49DD17F35061A3AB0589145E9ADCD9B9080493AFF6B723139B31B96D1CC456F97B0CCBB450C7F52E0C377877A650C252F092459B7374362,working,MA or PhD,government,"(ALC student,Internet)",mobile device,email,none,"(IELTS,TOEIC)",Law,AIEP_SP18
0x01A70DED42D5AF54884F2161E6CDFDA2E38ADFBB22FE676BA57682F17A89FCCB7541FB58216752777FB3F736EF5EAA615243512BFE309E4DFC0F435C56F3595ACC,working,UNEX certificate,self,Internet,"(computer,mobile device)","(email,SMS,Skype,social websites)",none,IELTS,Medicine/Biology,AIEP_SP18
0x012EE8D561DF93EDF82EE730AD57ECEB898FF4902AED133604460FBC54DE1E58691E816D504496C0F0E1333AEA08489C21302F01DF2EEC61BFFBFB34459FB80C8E,student,MA or PhD,family,agent,mobile device,"(email,SMS)",TOEFL,iBT-TOEFL,Business/Finance,AIEP_SP18
0x014058C05F36A35F9A72ABBE5CADD680E539AA9727F02952AFC2CD2479DBDE5CD7B0702B9E79F1C3B8391D37B8DBB9EA8170963864B06C8833D30827F3F6AFBD07,working,UNEX certificate,self,friend/family,none,social websites,none,none,Business/Finance,AIEP_SP18
0x01DACDA5F862362FED3503032D2A63581DB2D715D1F01AAB78FB9B483AE22B4A97A241A6C4ECBC175C8B826DC13AA08AAA41167269F6F63B13AD12AEE63AB32F79,student,return to home country,self,advertisement,mobile device,SMS,none,none,Art/Architecture/Design,AIEP_SP18
0x01C4435C846DE0F46FD4019B0810BF0BBE63261B9F720144CE1CE165C1A2E317EDACED0799C752145C86EEADF0E714540CF672FE91EFDBB965BD056121F924BC55,student,MA or PhD,government,Internet,computer,SMS,none,IELTS,Law,AIEP_SP18
0x014CCA29FD6B3BAEF8348F3BA8AC75AF71B66DED0EF5899B39924AB9931DF8F2919F99F38E8898E965D314821FF00D00CAA463183D11DBCD848EAFBF540A6F5DBE,working,MA or PhD,self,Internet,mobile device,email,none,IELTS,Law,AIEP_SP18
0x01F65E8ABBFBBD68C990944028675AFCCEAE744D15860E9431FB51C25E241E0CBA2B189B66128837D271EE3156D62BB2B888FB3E9B242089094FB6DC79083C592D,student,4-year college,government,Internet,mobile device,"(email,SMS,social websites)",IELTS,IELTS,Engineering,AIEP_SP18
0x018A4B8D403F3CB43D092F50318A072ACBCCFC060A96E0FD974D71BEABADC3D742164DBB35F02ACEB585FA5638D82322A62CF995C816652535E5CFCAB28033812A,working,MA or PhD,company,Internet,"(computer,mobile device)",social websites,IELTS,IELTS,Chemistry/Physics,AIEP_SP18
